periodo,ano,mes,estado,regiao,bioma,cidade,precipitacao_mm_total,precipitacao_dias_sem_chuva,temp_max_media,temp_min_media,registros_diarios,media_hist_mm,anomalia_pct,evento_climatico
201604,2016,4,BA,Nordeste,Caatinga,Salvador,56.3,7,27.87333333333333,24.790000000000003,30,166.79166666666666,-66.25,seca_severa
201605,2016,5,BA,Nordeste,Caatinga,Salvador,152.2,8,26.38387096774193,23.76129032258065,31,203.24166666666667,-25.11,normal
201606,2016,6,BA,Nordeste,Caatinga,Salvador,158.1,9,25.936666666666667,23.186666666666667,30,131.14166666666668,20.56,normal
201607,2016,7,BA,Nordeste,Caatinga,Salvador,74.2,5,25.041935483870965,22.106451612903225,31,106.78181818181817,-30.51,seca_moderada
201608,2016,8,BA,Nordeste,Caatinga,Salvador,87.1,10,25.38387096774193,22.293548387096774,31,86.45454545454545,0.75,normal
201609,2016,9,BA,Nordeste,Caatinga,Salvador,62.5,5,25.59333333333333,22.633333333333333,30,59.1,5.75,normal
201610,2016,10,BA,Nordeste,Caatinga,Salvador,32.6,8,26.9741935483871,23.64516129032258,31,58.400000000000006,-44.18,seca_moderada
201611,2016,11,BA,Nordeste,Caatinga,Salvador,70.3,13,27.57,23.966666666666665,30,117.47272727272728,-40.16,seca_moderada
201612,2016,12,BA,Nordeste,Caatinga,Salvador,52.8,11,28.19032258064516,24.55483870967742,31,63.08181818181818,-16.3,normal
201701,2017,1,BA,Nordeste,Caatinga,Salvador,28.5,1,29.067741935483877,24.80967741935484,31,78.45833333333333,-63.67,seca_severa
201702,2017,2,BA,Nordeste,Caatinga,Salvador,42.5,0,28.92142857142857,25.067857142857143,28,67.89166666666667,-37.4,seca_moderada
201703,2017,3,BA,Nordeste,Caatinga,Salvador,68.3,3,28.74516129032258,25.248387096774195,31,108.925,-37.3,seca_moderada
201704,2017,4,BA,Nordeste,Caatinga,Salvador,125.0,1,27.546666666666667,24.540000000000003,30,166.79166666666666,-25.06,normal
201705,2017,5,BA,Nordeste,Caatinga,Salvador,260.6,1,26.693548387096776,23.9,31,203.24166666666667,28.22,normal
201706,2017,6,BA,Nordeste,Caatinga,Salvador,112.5,0,25.936666666666667,22.97,30,131.14166666666668,-14.21,normal
